act,asset,order,size,done,price
0105,DEN027,Sell,1,1,405.7408969
0105,DEN079,Buy,10,10,70.17452915
0105,ITA123,Buy,103,67,13.0503139
0105,ITA169,Buy,198,198,2.922780269
0105,NOR032,Buy,1,1,105.7773991
0105,SPA088,Buy,2001,686,0.569955157
0105,SWE263,Buy,4,4,219.7886996
0109,DEN049,Buy,3,3,551.3618834
0109,FRA045,Buy,14,14,50.72098655
0109,FRA139,Sell,7,7,187.2069955
0109,SWE090,Buy,2,1,215.9160538
0109,SWE293,Sell,5,5,82.72636771
0110,GER138,Buy,24,24,8.548071749
0110,SWE163,Short,15,15,103.9547982
0111,DEN036,Short,7,7,142.6813453
0111,DEN044,Short,1,1,223.2841256
0111,DEN084,Buy,3,3,334.8998206
0111,FRA248,Buy,6,6,127.8647534
0111,FRA255,Buy,7,7,94.92663677
0111,FRA300,Sell,54,54,23.96358744
0111,GER078,Buy,29,29,22.03748879
0111,SPA025,Sell,173,173,4.943766816
0111,SWE264,Buy,1,1,113.4818834
0111,SWE276,Buy,2,2,43.06430493
0111,SWE287,Buy,1,1,578.2221525
0112,SWE102,Buy,3,3,203.6067265
0115,GER160,Short,1,1,48.92215247
0117,FRA209,Buy,128,128,12.69946188
0117,SWI076,Short,1,1,23.4793722
0118,FRA015,Sell,38,19,24.55811659
0119,SWE102,Buy,2,2,194.5759641
0123,SWE023,Buy,10,10,189.0165022
0123,SWI001,Sell,60,60,16.50887892
0123,SWI162,Buy,6,5,63.35793722
0124,DEN027,Buy,1,1,399.7859193
0124,DEN044,Short,1,1,222.6782063
0124,DEN084,Sell,2,2,335.2520179
0124,FIN061,Sell,66,66,20.9155157
0124,FRA239,Short,7,2,79.14690583
0124,NOR143,Buy,6,6,61.82089686
0124,SWE012,Short,2,2,127.9209865
0124,SWE037,Sell,2,1,129.9083408
0124,SWE102,Buy,7,7,204.003139
0124,SWE239,Buy,2,2,98.30286996
0124,SWE293,Sell,2,2,82.89919283
0125,GER181,Sell,8,8,147.1973991
0125,SWI230,Sell,230,148,17.85363229
0126,DEN063,Sell,3,3,210.0556951
0131,FRA241,Sell,18,18,50.11730942
0131,ITA169,Sell,243,243,2.947802691
0131,NET081,Buy,18,4,49.59775785
0131,NOR120,Short,18,18,51.95730942
0131,SWE054,Buy,18,18,68.96717489
0131,SWE231,Sell,21,21,73.7367713
0131,SWE252,Buy,30,30,32.44421525
0131,SWI085,Sell,5,5,113.8008969
0132,DEN066,Buy,1,1,335.2555157
0132,FIN062,Buy,326,326,5.080807175
0133,FRA163,Buy,14,14,95.68224215
0133,GER265,Sell,93,93,17.48609865
0133,NOR140,Buy,3,3,113.316861
0133,SWE099,Short,5,5,176.3235874
0133,SWE246,Short,10,10,148.732287
0133,SWI209,Sell,2,2,88.30520179
0139,SWE047,Sell,8,8,129.2181166
0141,FRA295,Buy,48,48,20.09946188
0141,GER033,Buy,2,2,73.76071749
0141,SWE163,Buy,2,2,101.6820628
0141,SWI071,Sell,25,25,65.06367713
0142,SPA067,Buy,61,61,19.17704036
0143,FIN036,Sell,122,122,12.99237668
0143,NOR081,Sell,65,65,26.22816143
0143,NOR140,Short,18,18,112.6084305
0143,SWE252,Buy,6,6,31.91318386
0146,ITA286,Buy,19,19,5.280807175
0147,NOR032,Buy,5,5,106.0027803
0147,SWE021,Sell,4,4,142.983139
0147,SWE047,Buy,3,3,127.5172197
0148,NOR120,Sell,29,29,55.16520179
0148,SPA083,Sell,315,264,5.366457399
0152,DEN057,Sell,6,6,190.8201794
0152,SWE135,Sell,4,4,137.7434081
0152,SWE216,Short,133,133,7.392466368
0152,SWI187,Short,5,2,239.9965919
0159,BEL035,Buy,94,94,14.40780269
0159,DEN127,Buy,2,2,320.004574
0159,DEN131,Buy,1,1,481.6558744
0159,GER209,Sell,26,26,38.36286996
0159,NET014,Sell,245,245,6.418654709
0159,NOR108,Buy,1421,1421,1.16529148
0159,SWE180,Buy,2,2,221.1124664
0159,SWE263,Sell,1,1,217.7025112
0159,SWI162,Buy,8,8,63.04089686
0160,BEL055,Buy,2,2,53.07659193
0160,GER298,Sell,1,1,39.13058296
0160,ITA053,Buy,608,608,0.610852018
0160,NOR050,Sell,38,38,21.94789238
0160,NOR140,Sell,10,5,111.7523767
0160,SWE012,Buy,9,9,128.8673543
0160,SWE276,Sell,37,19,42.89076233
0160,SWI167,Short,23,23,84.34789238
0161,GER069,Buy,13,13,64.45587444
0161,NOR140,Short,9,9,110.0118386
0161,SWE246,Sell,6,6,148.7449327
0173,GER181,Buy,5,5,147.1553363
0173,NOR032,Sell,5,5,105.6659193
0173,NOR081,Buy,29,29,26.54224215
0173,SWI214,Short,7,7,202.4966816
0174,SWE090,Buy,4,1,216.6222422
0174,SWE231,Sell,20,20,73.33004484
0175,SWE047,Buy,6,6,126.9007175
0177,GER240,Buy,13,12,78.86654709
0177,SWE274,Buy,5,5,74.16197309
0177,SWE276,Buy,12,12,42.86520179
0178,FRA268,Sell,7,7,43.97659193
0178,ITA123,Buy,17,17,12.99040359
0179,SPA015,Sell,23,23,33.05497758
0181,FRA095,Sell,58,58,14.51910314
0181,NOR081,Sell,30,30,25.95390135
0181,SWE244,Buy,4,4,88.34914798
0181,SWI167,Buy,6,6,85.28869955
0184,SWE163,Buy,9,9,101.4560538
0186,DEN127,Buy,2,2,327.3078924
0187,DEN027,Buy,3,3,409.2896861
0187,DEN124,Sell,2,2,116.8042152
0187,NET086,Buy,27,27,20.80986547
0189,FRA036,Buy,70,16,19.98
0189,ITA249,Sell,59,59,22.74161435
0189,NET086,Buy,64,3,20.48825112
0189,SPA025,Buy,72,72,5.010941704
0189,SWE231,Sell,42,6,73.28887892
0199,FRA020,Buy,78,78,6.341883408
0199,SWE124,Short,2,2,292.7732735
0202,DEN106,Short,5,5,280.2874439
0202,SWE194,Buy,3,3,89.192287
0204,GER038,Buy,14,14,66.10529148
0204,NET089,Sell,156,156,3.057309417
0204,NOR149,Buy,2,1,151.0684305
0204,SWE244,Buy,5,5,88.62394619
0205,FRA054,Short,5,5,71.66134529
0205,ITA286,Sell,296,278,5.260358744
0205,NOR006,Sell,20,20,29.59695067
0205,NOR032,Sell,6,6,107.2504933
0205,NOR049,Buy,15,15,109.4818834
0205,SWE097,Sell,373,373,4.064484305
0205,SWE174,Sell,7,7,205.6839462
0206,SWE023,Short,8,8,187.3855605
0206,SWE263,Buy,1,1,219.1103139
0206,SWI230,Buy,34,34,17.80403587
0207,SWI001,Sell,38,7,16.4438565
0209,SWI071,Buy,26,26,65.31497758
0210,SWE122,Buy,11,11,75.53121076
0214,FRA070,Buy,13,13,36.19892377
0215,DEN124,Buy,21,8,116.4572197
0215,DEN127,Sell,5,4,327.7135426
0215,GER188,Buy,398,398,5.080717489
0215,ITA134,Short,38,38,11.58887892
0215,NOR032,Short,9,2,106.1510314
0215,NOR140,Buy,10,10,112.7440359
0215,NOR166,Buy,4,4,325.3993722
0215,SPA075,Sell,38,38,33.09946188
0215,SWE040,Buy,11,11,114.4618834
0215,SWE047,Short,2,2,126.6919283
0215,SWE163,Buy,12,7,102.8819731
0215,SWE267,Buy,2,2,172.5701345
0215,SWI162,Buy,20,20,63.84986547
0216,DEN023,Buy,5,5,447.3278924
0216,FRA171,Buy,10,2,136.0832287
0216,GER030,Sell,19,1,64.6961435
0216,GER230,Sell,73,73,12.60950673
0216,NOR096,Buy,47,47,31.51273543
0216,NOR143,Short,6,6,63.79470852
0216,SWE024,Buy,4,4,170.747713
0218,FRA171,Buy,9,1,135.2012556
0218,FRA282,Buy,49,49,10.67112108
0218,ITA118,Sell,89,89,3.620717489
0218,NOR081,Sell,8,8,26.26
0218,NOR108,Buy,172,172,1.164215247
0218,SPA048,Buy,187,187,4.819910314
0218,SWE112,Sell,79,52,46.2329148
0218,SWE244,Sell,8,8,88.56690583
0219,SWE274,Buy,17,17,74.36735426
0220,NOR033,Sell,143,143,8.29955157
0220,SWE102,Short,7,7,197.6206278
0220,SWI025,Buy,14,14,105.7676233
0226,SWE264,Sell,2,2,112.6411659
0226,SWI137,Buy,4,4,117.0570404
0228,NET016,Sell,5,5,74.26403587
0228,NOR026,Sell,19,19,53.28286996
0228,NOR149,Buy,2,2,149.696861
0228,SWE276,Buy,26,26,42.70475336
0229,SWE102,Sell,6,6,190.8146188
0234,NOR081,Sell,55,55,26.02215247
0236,GER065,Sell,1,1,172.7765919
0236,ITA123,Sell,123,123,12.71076233
0236,NOR094,Sell,31,3,53.5535426
0236,SWE099,Buy,5,1,177.0930942
0236,SWI162,Short,13,13,63.23721973
0237,SPA025,Short,80,80,4.995515695
0239,FRA274,Buy,20,20,36.1735426
0241,GER125,Sell,55,29,61.04017937
0241,SWE003,Sell,2,2,145.2162332
0241,SWE264,Buy,12,12,114.3683408
0242,SWE194,Buy,1,1,89.45569507
0243,FIN048,Sell,59,59,27.29982063
0243,SWE023,Short,7,7,189.346009
0244,DEN085,Sell,1,1,262.455157
0244,DEN097,Sell,4,4,199.9530045
0244,SWE031,Buy,9,9,126.8113004
0244,SWE124,Buy,3,3,294.0724664
0244,SWE138,Sell,2,2,216.0123767
0244,SWE264,Short,1,1,114.2687892
0251,SWE248,Sell,7,7,145.1001794
0257,NOR110,Sell,2,1,657.1756951
0260,GER030,Sell,10,10,63.78251121
0260,NOR081,Buy,21,21,26.66394619
0260,SWE264,Buy,7,7,113.3543498
0260,SWE293,Short,18,18,82.36618834
0260,SWI021,Buy,17,17,43.1735426
0261,BEL035,Buy,201,201,14.51470852
0261,GER072,Buy,24,24,23.7458296
0261,NOR120,Buy,12,12,54.13130045
0261,SWE163,Sell,1,1,103.5929148
0264,DEN027,Buy,1,1,402.5912108
0264,DEN049,Sell,1,1,539.7336323
0264,FRA216,Buy,15,15,82.17121076
0264,SWE175,Buy,39,39,31.59919283
0265,SWE161,Buy,4,4,193.7219731
0265,SWE274,Buy,19,19,75.24762332
0266,GER062,Buy,24,24,8.992376682
0270,SWE237,Sell,33,33,53.252287
0274,FRA166,Buy,3,3,45.77533632
0275,FIN115,Short,66,66,13.53524664
0275,ITA001,Short,446,282,0.995695067
0276,NOR127,Buy,200,200,0.875784753
0276,SWI018,Sell,24,24,32.06457399
0276,SWI162,Sell,2,2,63.5496861
0278,SWI162,Sell,12,7,63.88511211
0285,SWE138,Sell,4,4,213.8147982
0285,SWI060,Sell,5,5,53.12896861
0290,SWE090,Buy,5,5,219.5321973
0290,SWE138,Buy,6,6,213.2309417
0294,DEN084,Sell,2,2,334.9879821
0294,DEN131,Buy,1,1,483.0883408
0294,GER013,Short,6,6,127.4169507
0294,NOR015,Sell,3,3,109.8097758
0294,SWE040,Buy,3,3,114.5187444
0294,SWE124,Buy,1,1,291.1092377
0294,SWE239,Sell,10,10,96.6967713
0294,SWE263,Buy,2,2,217.4246637
0295,FRA216,Short,15,15,82.14134529
0295,GER203,Sell,1,1,82.65309417
0296,SWE293,Buy,15,15,82.84780269
0299,FRA060,Buy,8,8,35.53730942
0299,SWE126,Sell,1,1,213.0527354
0300,ITA034,Buy,324,324,1.670941704
0300,SWE194,Short,3,3,89.62242152
0304,FRA048,Buy,102,102,10.85255605
0304,GER050,Buy,39,39,44.89578475
0304,NOR094,Sell,3,1,53.76
0304,NOR149,Buy,3,3,146.3469058
0304,SPA072,Buy,138,138,12.16663677
0304,SWE231,Sell,22,22,73.41775785
0304,SWE244,Buy,16,16,88.08995516
0306,DEN051,Sell,7,2,106.3556054
0306,NOR032,Buy,10,10,107.0085202
0306,SWE287,Buy,1,1,575.0095067
0306,SWE293,Sell,9,9,82.32071749
0310,SWI167,Buy,12,12,84.34860987
0310,SWI187,Sell,2,2,235.8566816
0312,IRE023,Short,26,26,6.902690583
0313,SWE038,Short,5,5,128.7923767
0314,FRA132,Buy,2,1,287.5816143
0317,DEN084,Buy,1,1,336.4947982
0317,DEN085,Sell,5,5,259.7915695
0317,FRA224,Sell,15,15,56.49121076
0317,FRA239,Buy,13,13,78.60663677
0317,IRE020,Sell,21,8,58.22215247
0317,ITA216,Sell,361,361,2.439910314
0317,NOR060,Buy,97,97,7.055426009
0317,NOR083,Sell,4,4,328.7289686
0317,SWE120,Buy,1,1,247.786009
0317,SWE274,Buy,5,5,74.63488789
0317,SWI162,Short,4,4,63.19327354
0320,FRA198,Short,17,17,32.69013453
0326,FRA171,Buy,4,4,133.5347982
0326,SWE126,Buy,9,9,219.655426
0326,SWI253,Sell,6,6,239.6173094
0330,FRA045,Sell,13,13,50.39165919
0330,GER032,Sell,14,14,107.8136323
0330,NET050,Sell,115,115,12.1367713
0330,SWE239,Short,5,5,96.98313901
0330,SWE276,Buy,5,5,42.96896861
0331,DEN084,Buy,3,3,339.3282511
0331,GER081,Short,21,18,20.90843049
0331,ITA139,Short,57,57,6.263318386
0331,ITA189,Sell,18,18,55.51641256
0331,ITA270,Sell,902,902,1.009955157
0331,NOR081,Sell,44,44,26.64053812
0331,NOR149,Buy,4,4,149.6381166
0331,SWE023,Sell,1,1,190.9994619
0331,SWE039,Buy,5,5,154.1284305
0331,SWE163,Short,5,5,101.7973991
0331,SWE228,Sell,6,6,191.9405381
0331,SWE273,Buy,17,17,75.70780269
0332,FRA054,Sell,2,2,71.97928251
0332,FRA269,Buy,6,6,56.29838565
0332,GER013,Sell,4,4,126.7817937
0332,GER032,Buy,6,6,109.1069058
0332,NOR094,Sell,31,16,53.76394619
0332,SWE252,Buy,2,2,32.53345291
0333,NOR143,Buy,10,10,60.6941704
0333,SWE099,Buy,5,5,180.7641256
0333,SWE215,Short,151,151,4.763766816
0333,SWE248,Buy,9,9,146.1804484
0334,DEN049,Buy,1,1,534.1760538
0334,SWE267,Buy,7,7,173.7932735
0335,FRA095,Buy,100,100,14.52717489
0335,FRA157,Buy,11,11,139.8612556
0335,GER265,Sell,93,18,17.65488789
0335,SWI001,Buy,12,12,16.60887892
0336,GER080,Sell,50,50,13.73587444
0336,NOR149,Buy,2,2,148.524574
0336,SWE189,Buy,11,11,87.53919283
0338,DEN032,Buy,4,4,184.6624215
0338,SWI187,Short,1,1,236.5824215
0339,FRA056,Buy,48,48,25.91569507
0339,SWI006,Buy,26,26,67.3432287
0340,BEL028,Buy,222,222,8.517488789
0340,FRA286,Buy,8,8,17.44376682
0340,GER069,Sell,5,5,65.27183857
0340,SWE126,Buy,1,1,216.8542601
0341,GER069,Buy,21,21,64.5290583
0342,SWE180,Buy,4,4,218.7407175
0347,GER138,Sell,21,21,8.575695067
0347,SWE268,Sell,2,2,223.8165022
0350,GER240,Sell,1,1,79.66995516
0350,SWI162,Buy,3,3,63.11659193
0355,FRA293,Short,10,10,51.14565022
0360,ITA134,Buy,136,136,11.54242152
0360,SWE264,Buy,13,13,111.9819731
0361,FRA166,Sell,59,59,45.9593722
0363,FRA003,Short,29,29,38.64080717
0363,ITA134,Sell,84,84,11.49641256
0363,NET105,Buy,21,21,31.95237668
0363,NOR142,Sell,1,1,26.16869955
0364,ITA028,Sell,14,8,17.66618834
0364,NOR032,Buy,11,11,107.1498655
0365,SPA033,Short,3,3,31.32887892
0367,SPA015,Buy,29,29,32.74475336
0367,SWE102,Buy,2,2,200.3474439
0370,GER240,Short,19,19,79.15596413
0370,SWE047,Short,1,1,128.4796413
0370,SWE163,Buy,7,7,103.2668161
0371,NOR032,Buy,3,3,106.1695067
0374,SWE293,Buy,3,3,82.0858296
0376,FRA143,Buy,12,12,106.413991
0376,ITA123,Buy,19,19,12.87560538
0380,BEL054,Buy,9,9,32.0567713
0380,DEN084,Sell,13,5,339.5640359
0380,FIN036,Buy,91,91,13.10134529
0380,FRA112,Short,2,1,29.16923767
0380,FRA241,Buy,33,33,50.57919283
0380,GER003,Buy,22,22,59.53605381
0380,GER153,Sell,4,4,30.48098655
0380,ITA123,Sell,12,12,12.72269058
0380,ITA169,Buy,136,136,2.888071749
0380,NET086,Short,55,55,20.67713004
0380,NOR070,Buy,2,1,247.0765919
0380,NOR081,Buy,30,30,26.5935426
0380,NOR140,Buy,13,9,113.6710314
0380,NOR149,Buy,4,4,150.1994619
0380,NOR153,Buy,9,9,64.90834081
0380,NOR166,Buy,3,3,325.7612556
0380,SPA055,Sell,206,132,22.0773991
0380,SWE026,Buy,1,1,773.9087892
0380,SWE148,Buy,30,30,33.42717489
0380,SWE231,Short,3,3,73.43022422
0380,SWE239,Short,1,1,97.85829596
0380,SWE244,Sell,11,11,88.77219731
0380,SWE263,Sell,6,3,216.4623318
0380,SWE274,Buy,11,7,74.32304933
0380,SWE276,Buy,4,4,42.5858296
0380,SWE292,Sell,9,9,82.92834081
0380,SWI162,Buy,8,8,63.13802691
0383,SWE163,Buy,1,1,103.7230493
0384,DEN084,Sell,2,2,338.9761435
0384,SPA072,Sell,26,26,12.31210762
0384,SWE120,Short,2,2,245.88287
0384,SWE194,Short,9,9,89.38654709
0384,SWE274,Sell,5,5,74.97865471
0387,BEL038,Sell,127,127,10.60439462
0387,DEN032,Buy,6,6,186.5667265
0387,DEN084,Sell,9,4,338.9988341
0387,GER065,Buy,3,2,173.2328251
0387,GER136,Buy,2,2,91.90403587
0387,ITA123,Short,4,4,13.06941704
0387,NET016,Short,1,1,74.02421525
0387,NOR043,Buy,18,18,36.48098655
0387,NOR120,Sell,22,22,54.19650224
0387,NOR149,Sell,7,1,148.8955157
0387,SPA022,Buy,188,34,7.457399103
0387,SWE124,Sell,2,2,291.9485202
0387,SWE174,Buy,6,6,206.8209865
0387,SWE182,Buy,549,549,2.24573991
0387,SWE239,Sell,12,12,96.49713004
0387,SWE244,Sell,2,2,87.86950673
0387,SWE263,Buy,4,4,222.1893274
0387,SWI116,Short,2,2,449.7558744
0387,SWI230,Buy,1,1,17.85730942
0388,FRA113,Sell,6,6,3.226995516
0388,SPA116,Sell,409,182,3.880807175
0388,SWE163,Buy,8,8,103.4205381
0391,FRA003,Buy,2,2,38.61085202
0391,NOR120,Buy,18,17,53.61578475
0391,SWE293,Sell,3,3,82.77399103
0394,FRA209,Sell,176,176,12.71461883
0394,SWE273,Short,11,11,75.59013453
0397,SWE256,Short,2,1,113.1187444
0398,DEN044,Short,5,5,220.5756054
0398,FRA029,Sell,7,7,60.25255605
0398,GER013,Buy,3,3,127.5470852
0398,SWI001,Short,40,40,16.58825112
0399,DEN120,Sell,6,3,167.3598206
0399,SWE003,Buy,9,9,145.0914798
0400,FRA011,Short,4,4,51.30403587
0400,FRA064,Sell,43,43,3.682331839
0400,FRA169,Buy,7,7,135.8704933
0400,FRA250,Sell,13,12,38.9173991
0400,FRA255,Buy,13,13,94.69264574
0400,NET086,Short,41,41,20.70394619
0400,NOR140,Buy,3,3,113.1740807
0400,NOR150,Short,4,4,140.2583857
0400,SPA034,Buy,400,400,3.502600897
0400,SWE047,Buy,12,12,127.541704
0400,SWE058,Short,4,4,106.9440359
0400,SWE293,Sell,11,11,82.5755157
0400,SWI194,Buy,2,2,132.4898655
0402,DEN026,Buy,3,3,298.1167713
0403,DEN032,Sell,6,6,184.7481614
0403,FIN072,Sell,162,86,3.784304933
0403,FRA293,Sell,22,4,51.41246637
0403,GER072,Buy,23,23,23.76780269
0403,NOR140,Short,6,6,111.6993722
0403,SPA072,Buy,114,114,12.04511211
0403,SWE003,Sell,3,3,144.1806278
0403,SWE021,Sell,7,7,142.6765919
0403,SWE047,Sell,18,18,126.9036771
0403,SWE267,Buy,2,2,173.2962332
0403,SWI103,Buy,1,1,274.3437668
0403,SWI227,Buy,108,108,11.58026906
0408,DEN127,Buy,2,2,321.0375785
0408,NOR140,Buy,1,1,111.3209865
0410,DEN003,Buy,1,1,664.6015247
0410,DEN027,Buy,3,3,401.0347085
0410,DEN032,Buy,1,1,184.4979372
0410,DEN037,Buy,1,1,215.3276233
0410,DEN077,Sell,5,1,329.0039462
0410,DEN085,Short,1,1,264.2622422
0410,FIN062,Buy,125,125,5.022511211
0410,FRA045,Short,34,34,50.40466368
0410,FRA209,Buy,80,80,12.62995516
0410,FRA295,Buy,45,45,19.9341704
0410,GER032,Buy,10,10,109.5236771
0410,GER078,Sell,108,17,22.27632287
0410,GER080,Buy,15,15,13.60726457
0410,GER109,Sell,6,6,31.15748879
0410,GER128,Sell,3,3,34.01865471
0410,ITA140,Buy,59,59,10.51919283
0410,ITA267,Buy,102,102,5.818565022
0410,NET050,Sell,181,13,12.22600897
0410,NOR032,Buy,12,12,106.2347982
0410,NOR071,Buy,9,9,88.72780269
0410,NOR096,Sell,8,8,31.5335426
0410,NOR110,Sell,2,2,664.5311211
0410,NOR140,Sell,9,9,112.2415247
0410,NOR149,Sell,22,10,146.78287
0410,SPA022,Sell,14,14,7.504932735
0410,SWE003,Buy,1,1,145.5345291
0410,SWE021,Short,8,8,144.3202691
0410,SWE023,Buy,2,2,189.3127354
0410,SWE047,Buy,3,3,126.8663677
0410,SWE059,Buy,26,26,13.2
0410,SWE120,Buy,9,5,244.9210762
0410,SWE124,Buy,1,1,290.4980269
0410,SWE129,Buy,7,7,49.37013453
0410,SWE137,Buy,5,5,259.0804484
0410,SWE248,Short,8,8,145.6789238
0410,SWE252,Sell,2,2,31.86959641
0410,SWE267,Sell,5,5,173.1590135
0410,SWE274,Buy,31,31,74.59058296
0410,SWE276,Buy,23,23,42.77686099
0410,SWI076,Sell,24,1,23.33533632
0410,SWI167,Buy,29,29,84.14286996
0410,SWI187,Buy,1,1,235.7931839
0410,SWI214,Sell,4,4,202.5526457
0411,SWE231,Short,1,1,73.86493274
0411,SWI215,Sell,12,12,67.7090583
0412,FRA003,Sell,21,21,38.71542601
0412,ITA299,Sell,30,30,25.32412556
0412,NET007,Short,36,36,22.77748879
0412,NOR149,Buy,10,10,149.0410762
0418,DEN027,Buy,3,3,398.2921973
0418,ITA118,Short,57,2,3.602152466
0418,SWE253,Short,2,2,27.75372197
0419,NET016,Buy,18,18,73.53793722
0420,ITA118,Buy,246,246,3.621793722
0420,NOR149,Buy,4,4,148.9016143
0420,SWE141,Sell,4,4,272.5727354
