act,asset,order,size,done,price
0081,INDI133,Sell,128,128,4.9292
0081,INDI288,Sell,939,924,1.4396
0081,JAPA190,Buy,137,25,8.6646
0083,AUST073,Buy,15,15,54.8545
0083,HONG070,Short,57,57,11.9228
0083,HONG097,Sell,282,282,0.333
0083,JAPA059,Buy,432,432,5.107
0083,JAPA290,Buy,5,5,60.306
0083,SOUT113,Buy,9,9,106.774
0090,AUST073,Sell,13,13,55.064
0090,JAPA147,Sell,136,1,13.1765
0090,SOUT234,Buy,125,125,4.0317
0092,JAPA113,Buy,585,585,1.4084
0093,AUST060,Buy,23,23,23.2365
0093,HONG143,Buy,783,783,0.4066
0093,HONG275,Buy,61,61,17.3817
0093,INDI250,Buy,264,264,3.8208
0093,JAPA090,Buy,180,180,3.5371
0093,JAPA254,Buy,111,111,34.1326
0093,MALA006,Buy,8264,8264,0.2161
0093,THAI290,Short,14,14,0.5461
0094,AUST298,Buy,55,55,19.3367
0094,JAPA020,Buy,50,50,33.69
0094,JAPA129,Sell,240,240,5.6423
0094,JAPA153,Sell,58,58,2.0852
0094,JAPA234,Short,1142,1142,1.1926
0094,JAPA239,Sell,15,15,33.3542
0094,JAPA247,Buy,123,123,4.5017
0094,SOUT128,Sell,72,19,7.0537
0094,TAIW032,Buy,23,23,10.4273
0095,HONG046,Buy,79,79,0.5993
0095,HONG070,Short,13,13,12.1302
0095,JAPA189,Sell,28,28,21.0485
0095,JAPA219,Sell,297,129,7.2979
0095,MALA264,Sell,662,662,2.695
0095,SOUT033,Sell,11,11,1.3363
0096,AUST073,Short,13,8,54.4448
0096,INDI031,Sell,545,545,2.2429
0096,JAPA186,Buy,211,113,6.4206
0096,SOUT005,Sell,2,2,317.1399
0096,THAI126,Short,34,34,5.0563
0114,AUST295,Buy,26,26,22.8426
0114,HONG021,Sell,241,241,0.7549
0114,JAPA084,Buy,4,4,12.4292
0119,AUST015,Buy,8,8,9.5679
0119,AUST295,Sell,64,64,22.5403
0121,NEW 044,Sell,1159,657,1.4157
0121,SING182,Buy,6656,6656,0.388
0121,TAIW049,Short,738,738,0.7646
0122,AUST248,Sell,712,712,2.3901
0124,AUST295,Short,14,14,22.7652
0124,JAPA084,Sell,176,110,12.0638
0124,JAPA183,Sell,35,35,14.0027
0124,JAPA253,Sell,44,11,34.0268
0124,JAPA294,Buy,1597,1597,0.5336
0125,INDI124,Buy,60,60,11.7489
0126,JAPA206,Sell,15,15,10.8866
0126,JAPA284,Buy,257,257,8.9461
0126,JAPA290,Short,25,25,60.7345
0126,SING095,Buy,941,941,0.2176
0126,SOUT243,Sell,454,31,3.6063
0126,SOUT255,Sell,324,324,5.5175
0127,SOUT113,Buy,1,1,107.6077
0135,AUST224,Buy,23,23,5.1606
0136,JAPA251,Buy,188,32,4.2194
0138,HONG004,Buy,580,500,0.4077
0138,JAPA117,Buy,214,214,3.193
0138,JAPA160,Buy,212,212,3.1661
0141,HONG059,Buy,798,798,0.3524
0141,SOUT200,Buy,8,8,75.619
0141,THAI110,Buy,1231,1231,0.5954
0141,THAI199,Short,130,107,7.4279
0143,JAPA005,Sell,615,192,3.9538
0146,HONG289,Buy,2733,2733,0.1454
0146,JAPA024,Sell,467,290,7.4952
0146,NEW 082,Buy,253,253,3.1795
0146,SOUT239,Buy,8,8,157.8955
0146,THAI204,Sell,88,88,7.4876
0147,HONG084,Sell,558,558,0.687
0147,INDO244,Short,253,253,0.6784
0147,SOUT197,Buy,5,2,208.5168
0147,SOUT233,Sell,212,212,2.2988
0148,SOUT131,Buy,2,2,124.1636
0148,SOUT255,Sell,137,137,5.1199
0151,JAPA152,Buy,37,37,35.3725
0152,HONG132,Buy,498,498,0.6431
0152,INDI091,Sell,96,96,18.161
0152,JAPA017,Short,57,57,14.884
0152,THAI126,Buy,396,4,4.9875
0155,AUST047,Buy,35,35,18.1696
0155,HONG037,Sell,13609,13609,0.1478
0155,SOUT130,Buy,7,7,171.1053
0156,AUST032,Buy,7,7,20.3783
0156,AUST034,Sell,478,478,3.021
0156,AUST280,Short,510,510,0.7956
0156,HONG124,Buy,538,538,0.9681
0156,HONG132,Sell,1364,1364,0.6157
0156,HONG167,Buy,123,123,7.9075
0156,JAPA015,Sell,336,336,2.7504
0156,JAPA057,Buy,54,54,40.3339
0156,JAPA092,Buy,96,96,16.1225
0156,JAPA111,Sell,162,88,14.7032
0156,JAPA136,Sell,55,55,19.0751
0156,JAPA144,Buy,8,8,6.8042
0156,JAPA214,Buy,24,24,15.6149
0156,JAPA230,Sell,960,960,1.4469
0156,JAPA239,Buy,30,30,33.2984
0156,JAPA244,Short,45,45,10.6757
0156,JAPA250,Sell,6,3,41.3372
0156,JAPA290,Buy,42,26,60.0851
0156,SING276,Buy,22,22,14.1881
0156,THAI125,Sell,48,48,4.9589
0156,THAI131,Buy,2044,2044,0.519
0156,THAI178,Short,3560,3560,0.153
0156,THAI269,Sell,5299,5299,0.0693
0160,JAPA213,Sell,83,83,9.7545
0167,AUST073,Buy,20,20,54.4788
0167,AUST118,Sell,867,867,1.9205
0167,JAPA125,Buy,6,6,20.0466
0167,JAPA164,Short,60,60,12.7193
0167,JAPA230,Buy,24,24,1.4906
0167,JAPA238,Sell,121,121,2.1926
0167,MALA040,Sell,497,497,1.1861
0167,SOUT040,Buy,826,826,1.9567
0168,INDI131,Sell,2,1,16.9629
0168,JAPA144,Buy,257,257,6.6912
0168,SOUT029,Buy,38,38,20.6937
0169,JAPA005,Buy,107,107,3.8265
0169,JAPA024,Sell,202,202,7.4789
0169,JAPA122,Short,283,283,3.7337
0169,JAPA180,Buy,147,147,4.4563
0169,JAPA245,Buy,260,260,4.9907
0169,MALA225,Buy,275,275,4.2893
0169,NEW 028,Buy,34,34,4.6715
0169,SOUT010,Buy,5,5,172.5462
0169,SOUT248,Sell,3,3,83.6174
0169,TAIW104,Buy,214,214,2.0824
0170,HONG067,Short,419,419,1.1027
0170,HONG265,Sell,25241,25241,0.0311
0170,HONG269,Buy,3678,3678,0.1973
0170,INDI170,Buy,48,48,18.8597
0170,JAPA230,Sell,851,851,1.4739
0170,SING094,Sell,184,184,1.5899
0172,AUST028,Buy,263,263,3.5872
0172,JAPA186,Buy,142,142,6.466
0172,JAPA236,Sell,32,31,59.13
0172,JAPA250,Sell,26,26,41.2415
0173,HONG046,Sell,2307,1407,0.5651
0173,HONG059,Sell,1676,1222,0.3554
0173,JAPA114,Buy,69,69,17.2802
0173,JAPA134,Sell,55,55,12.6604
0173,THAI199,Buy,188,188,7.5222
0174,TAIW200,Buy,393,393,1.7559
0175,JAPA122,Short,99,99,3.8138
0175,JAPA175,Buy,927,927,2.0817
0177,AUST047,Buy,26,26,18.262
0181,AUST227,Short,55,55,3.796
0181,HONG252,Buy,1035,1035,0.5684
0181,JAPA236,Sell,29,29,58.7739
0181,THAI048,Buy,35,35,0.5534
0181,THAI121,Sell,12840,2709,0.145
0185,HONG104,Sell,2113,1517,0.5259
0185,SING068,Sell,119,119,12.8655
0185,THAI270,Buy,27712,12434,0.0677
0188,INDI080,Sell,555,555,0.9551
0191,AUST151,Buy,5,1,55.3681
0191,AUST295,Buy,140,140,22.8922
0191,HONG104,Sell,107,107,0.5186
0191,HONG275,Sell,99,99,17.0276
0191,JAPA040,Buy,55,55,24.897
0191,JAPA076,Buy,54,5,31.5987
0191,JAPA125,Short,57,57,20.1219
0191,JAPA144,Buy,449,449,6.7339
0191,JAPA149,Sell,11,11,28.1618
0191,JAPA244,Sell,3,3,10.5677
0191,JAPA270,Buy,463,463,4.4503
0191,SING241,Buy,346,346,2.1746
0191,SOUT145,Sell,59,59,11.2641
0191,SOUT165,Buy,326,326,2.3838
0191,THAI199,Buy,17,17,7.6002
0194,AUST295,Buy,34,34,22.8046
0194,AUST298,Sell,142,142,19.6032
0194,HONG006,Buy,998,998,0.7814
0194,HONG018,Buy,31,31,0.4583
0194,HONG034,Buy,23890,23890,0.0768
0194,HONG045,Sell,1869,1869,0.7189
0194,HONG064,Buy,87,87,3.568
0194,HONG068,Sell,468,468,2.3575
0194,HONG097,Sell,1646,1646,0.3406
0194,HONG098,Buy,765,765,0.6602
0194,HONG114,Buy,1234,1234,1.2046
0194,HONG197,Short,1191,1191,0.8399
0194,HONG275,Sell,114,114,16.7888
0194,HONG282,Short,833,833,0.9991
0194,JAPA037,Buy,24,18,18.9856
0194,JAPA088,Sell,622,622,3.3112
0194,JAPA111,Buy,57,57,14.628
0194,JAPA138,Sell,29,29,10.2764
0194,JAPA144,Buy,9,9,6.8218
0194,JAPA156,Short,28,28,32.4328
0194,JAPA163,Sell,7,7,78.4763
0194,JAPA213,Buy,230,230,9.6015
0194,JAPA214,Short,78,78,15.5513
0194,JAPA219,Buy,115,115,7.2876
0194,JAPA229,Buy,41,41,44.0923
0194,JAPA236,Short,5,5,58.834
0194,JAPA254,Short,27,27,33.6118
0194,JAPA263,Sell,11,1,13.5335
0194,JAPA276,Buy,253,253,6.8469
0194,JAPA290,Sell,35,35,60.888
0194,JAPA296,Buy,42,42,4.0902
0194,SING141,Buy,52,52,5.1511
0194,SING284,Buy,16,16,5.7339
0194,SOUT110,Sell,52,52,26.6316
0194,TAIW141,Sell,1032,1032,0.5848
0194,TAIW167,Buy,383,231,7.5877
0196,HONG018,Buy,281,281,0.4672
0196,HONG026,Buy,330,330,3.4368
0196,JAPA139,Buy,17,17,21.9467
0197,INDI170,Buy,32,32,18.7458
0202,JAPA226,Sell,196,196,11.1311
0206,JAPA285,Buy,299,299,3.1597
0210,AUST032,Buy,20,20,20.2274
0210,JAPA019,Sell,304,304,6.215
0210,JAPA162,Sell,79,79,22.8631
0210,JAPA297,Sell,318,318,3.8214
0210,TAIW167,Buy,114,114,7.5831
0211,AUST230,Sell,64,26,35.9776
0211,SOUT163,Buy,17,17,40.9568
0214,JAPA203,Short,32,32,4.1041
0214,THAI270,Buy,39148,39148,0.0688
0216,JAPA196,Buy,32,32,36.9963
0216,JAPA213,Buy,2,2,9.6496
0216,SING182,Short,1433,1433,0.3774
0216,SOUT128,Sell,298,298,7.0247
0218,SOUT049,Sell,5,5,25.8996
0220,HONG116,Buy,1485,1485,0.3588
0223,JAPA134,Buy,8,8,12.4114
0224,HONG045,Sell,203,203,0.7079
0224,JAPA084,Sell,247,247,11.9601
0224,JAPA245,Short,366,366,5.018
0228,AUST032,Buy,37,37,20.2507
0228,AUST047,Buy,5,5,18.2748
0228,HONG229,Buy,188,188,4.9159
0228,JAPA133,Short,6,6,21.6734
0228,JAPA136,Sell,20,20,19.3
0228,JAPA221,Sell,124,124,12.3484
0228,JAPA231,Buy,159,159,9.7756
0228,JAPA250,Sell,7,7,41.5923
0228,JAPA290,Buy,11,11,60.3266
0228,JAPA296,Buy,111,111,4.0698
0228,SOUT099,Sell,20,20,51.6103
0228,SOUT122,Buy,41,41,28.0698
0228,SOUT128,Sell,8,8,6.7361
0228,TAIW006,Buy,324,324,1.0126
0228,THAI203,Short,243,243,1.5821
0231,JAPA144,Sell,16,16,6.7804
0231,THAI125,Buy,83,83,5.0019
0232,AUST073,Buy,15,15,54.9906
0232,AUST298,Buy,92,92,19.6649
0232,HONG197,Buy,81,81,0.8434
0232,JAPA072,Buy,163,163,10.9625
0232,JAPA086,Buy,52,52,36.4344
0232,JAPA290,Short,26,26,60.3476
0232,TAIW249,Buy,22,22,3.9268
0232,THAI050,Sell,501,501,0.7512
0232,THAI201,Buy,869,311,2.2922
0233,AUST252,Sell,44,44,14.9276
0233,SING068,Sell,146,146,12.9986
0235,JAPA186,Sell,523,523,6.4609
0235,JAPA236,Buy,1,1,58.8416
0235,SOUT243,Buy,252,252,3.4745
0235,THAI132,Short,2065,2065,0.5027
0236,HONG020,Buy,7528,7528,0.0958
0236,JAPA073,Buy,89,74,5.7787
0236,JAPA221,Buy,15,15,12.4093
0236,SOUT281,Short,22,22,16.0094
0237,SOUT096,Sell,4,1,350.968
0237,TAIW293,Sell,1985,1985,0.4099
0238,JAPA076,Buy,15,15,31.6295
0238,JAPA240,Short,67,67,26.0668
0238,SOUT097,Short,10,10,131.6955
0239,HONG046,Sell,574,574,0.6298
0239,HONG059,Sell,502,235,0.3603
0239,HONG111,Sell,206,206,1.8906
0239,HONG179,Short,469,469,0.6002
0239,HONG217,Buy,2008,2008,0.5773
0239,HONG240,Buy,37,37,3.6273
0239,INDI296,Short,29,29,21.0166
0239,INDO268,Sell,5013,5013,0.4251
0239,JAPA041,Sell,253,253,7.0295
0239,JAPA078,Buy,655,655,3.2265
0239,JAPA144,Sell,84,84,6.8191
0239,JAPA229,Buy,36,36,44.14
0239,JAPA231,Sell,598,397,9.6993
0239,JAPA282,Short,87,87,9.7619
0239,THAI131,Sell,3189,3189,0.5041
0244,JAPA245,Short,536,536,4.8952
0247,AUST298,Short,32,32,19.2693
0247,JAPA025,Sell,49,49,7.3929
0247,JAPA096,Short,433,433,3.902
0247,JAPA253,Buy,19,19,34.1033
0248,JAPA009,Buy,79,79,2.9886
0248,JAPA111,Sell,222,142,14.6429
0248,JAPA153,Buy,288,288,2.0677
0248,JAPA177,Buy,97,67,38.6868
0248,JAPA236,Buy,20,20,58.7835
0248,JAPA249,Buy,1130,1130,1.3048
0250,AUST295,Buy,35,35,22.4688
0250,INDI240,Buy,9,9,12.4588
0250,JAPA088,Sell,81,28,3.3881
0254,AUST258,Sell,718,718,1.4161
0254,HONG027,Sell,369,369,1.1692
0254,JAPA149,Sell,47,47,28.353
0254,SOUT078,Sell,38,38,14.2008
0254,THAI007,Buy,52686,52686,0.0083
0255,JAPA119,Buy,29,29,20.4273
0255,SING141,Sell,265,265,5.0757
0255,TAIW132,Sell,689,447,2.6775
0255,THAI233,Buy,166,166,0.7088
0258,INDI284,Sell,647,647,2.7469
0258,JAPA037,Buy,94,94,19.0228
0258,SOUT172,Buy,3,3,43.3722
0261,AUST104,Sell,553,553,1.4134
0261,HONG026,Buy,322,322,3.4916
0261,HONG275,Buy,47,35,16.8168
0261,INDI117,Sell,197,122,17.9732
0261,JAPA236,Buy,2,2,58.679
0261,JAPA272,Buy,101,101,2.5518
0264,HONG018,Buy,348,348,0.4828
0264,HONG093,Sell,216,216,2.5717
0264,INDI166,Sell,14,14,28.755
0264,JAPA111,Short,34,34,14.5443
0264,JAPA232,Short,654,654,2.1621
0264,SOUT081,Buy,79,79,20.7107
0264,SOUT277,Buy,6,6,207.8614
0264,TAIW258,Buy,342,342,2.6719
0265,JAPA055,Sell,554,554,1.3917
0267,THAI132,Short,1211,1211,0.501
0270,HONG003,Sell,5399,3375,0.5139
0270,HONG068,Sell,438,438,2.4095
0270,HONG167,Short,110,110,8.0426
0270,HONG275,Buy,12,12,16.8908
0270,INDI064,Buy,1324,1324,1.7513
0270,INDI160,Sell,1461,1461,1.1853
0270,JAPA086,Sell,27,27,36.5738
0270,JAPA254,Sell,17,17,34.3159
0270,JAPA286,Short,240,240,4.6344
0270,TAIW020,Sell,7,7,0.3024
0270,THAI201,Buy,819,819,2.3262
0276,AUST187,Buy,103,103,4.8365
0276,AUST233,Sell,492,492,3.8945
0276,HONG018,Sell,677,677,0.4835
0277,AUST232,Sell,408,408,4.3325
0277,JAPA040,Sell,23,23,24.6861
0277,JAPA114,Sell,4,4,17.2106
0277,JAPA250,Buy,4,4,41.2403
0277,JAPA271,Buy,247,247,2.3166
0277,SOUT097,Buy,11,11,126.4173
0279,JAPA241,Short,59,59,18.7376
0280,THAI001,Sell,86,2,6.4332
0281,HONG004,Sell,4492,4492,0.4121
0281,HONG068,Buy,560,560,2.3906
0281,HONG275,Buy,150,46,17.5336
0281,JAPA139,Sell,11,11,21.6171
0281,JAPA144,Buy,342,70,6.7837
0281,JAPA219,Buy,359,359,7.2858
0282,SOUT273,Sell,19,19,31.6688
0286,AUST294,Sell,260,63,6.9855
0286,JAPA151,Buy,110,110,2.8707
0286,SOUT002,Sell,22,22,30.8687
0286,TAIW141,Sell,652,652,0.5922
0286,THAI018,Buy,11218,6718,0.0918
0286,THAI045,Sell,2626,1026,1.2333
0290,AUST052,Buy,173,173,4.1059
0290,AUST073,Buy,31,31,54.6177
0290,AUST172,Buy,57,24,2.4144
0290,AUST212,Buy,10,10,9.6452
0290,HONG045,Sell,1795,1795,0.7123
0290,HONG049,Sell,3002,2214,0.5599
0290,HONG179,Buy,3557,3557,0.5923
0290,INDI254,Sell,49,49,18.1547
0290,JAPA017,Short,54,45,14.7382
0290,JAPA018,Sell,9,9,23.7691
0290,JAPA042,Short,273,223,3.4134
0290,JAPA136,Sell,84,84,18.9261
0290,JAPA153,Sell,26,26,2.0946
0290,JAPA174,Sell,86,86,15.0808
0290,JAPA175,Buy,998,286,2.128
0290,JAPA244,Sell,37,37,10.7274
0290,JAPA246,Buy,31,9,13.8436
0290,JAPA290,Buy,24,24,59.9468
0290,PHIL178,Short,4097,1530,0.4202
0290,SOUT062,Sell,2480,2480,1.3112
0290,TAIW075,Buy,121,121,15.105
0290,THAI203,Buy,613,613,1.5802
0295,AUST070,Buy,95,95,6.1292
0295,HONG179,Buy,1542,1542,0.6239
0295,SING192,Sell,93,93,6.4617
0296,INDI064,Sell,389,389,1.7522
0296,INDO041,Sell,2969,2969,0.376
0296,JAPA033,Buy,5,5,12.4628
0296,JAPA104,Buy,256,256,3.8549
0296,JAPA144,Sell,228,228,6.7401
0296,JAPA250,Buy,28,28,41.3968
0296,JAPA300,Sell,33,33,11.6668
0296,SOUT028,Buy,6,6,73.957
0296,SOUT062,Sell,9,9,1.23
0296,SOUT095,Buy,110,110,11.2119
0296,SOUT156,Buy,2,2,20.6577
0296,THAI199,Sell,366,191,7.5003
0297,HONG104,Buy,988,151,0.5262
0299,HONG005,Sell,90,90,5.6558
0299,JAPA029,Sell,468,468,1.5284
0300,SOUT279,Short,33,33,53.0605
0301,JAPA091,Sell,34,34,35.2817
0303,HONG275,Buy,94,94,17.4697
0305,AUST253,Buy,423,423,1.0969
0307,HONG072,Sell,4388,4388,0.2835
0310,HONG107,Sell,468,38,1.3713
0311,HONG229,Buy,656,656,4.9811
0311,JAPA043,Sell,10,10,18.2813
0313,SING221,Buy,279,279,2.5861
0314,AUST106,Buy,590,590,2.3366
0314,HONG275,Buy,94,94,16.8339
0314,JAPA057,Short,10,10,41.4092
0314,JAPA149,Sell,27,3,28.1298
0316,AUST025,Buy,185,185,6.1058
0316,AUST151,Buy,10,10,55.126
0316,AUST236,Sell,809,245,2.7593
0316,AUST272,Buy,9,9,4.2601
0316,AUST282,Short,91,91,6.8617
0316,HONG045,Sell,571,571,0.7465
0316,HONG064,Buy,95,95,3.5099
0316,HONG111,Buy,210,210,1.8495
0316,HONG179,Buy,1520,1520,0.5916
0316,HONG223,Buy,163,163,1.0811
0316,HONG275,Short,21,21,17.0072
0316,HONG300,Buy,6400,6400,0.2612
0316,INDI005,Short,91,91,5.5018
0316,INDI093,Buy,1293,1293,1.8428
0316,INDI124,Buy,46,46,11.6361
0316,INDI166,Buy,86,86,28.9221
0316,INDI228,Buy,98,11,4.6054
0316,JAPA007,Buy,73,73,31.9928
0316,JAPA015,Buy,707,707,2.6899
0316,JAPA019,Buy,131,131,6.2349
0316,JAPA096,Buy,133,133,3.9072
0316,JAPA153,Buy,89,89,2.0694
0316,JAPA159,Buy,357,357,5.3997
0316,JAPA177,Sell,32,2,38.9145
0316,JAPA204,Buy,7,1,33.1594
0316,JAPA229,Buy,15,2,44.1487
0316,JAPA245,Sell,318,318,4.8979
0316,JAPA252,Buy,134,134,3.9399
0316,JAPA276,Sell,9,9,7.0221
0316,SING141,Buy,273,78,5.0872
0316,SOUT270,Sell,7,7,31.7759
0316,SOUT273,Buy,6,6,31.5778
0316,TAIW019,Sell,3,3,8.7766
0316,TAIW020,Sell,3670,3670,0.3013
0316,TAIW282,Short,5612,5612,0.2067
0316,THAI049,Buy,326,326,0.7544
0316,THAI066,Short,478,478,0.1716
0316,THAI200,Buy,1177,1177,2.28
0317,INDI117,Sell,18,18,18.3527
0317,JAPA153,Sell,469,469,2.0602
0322,AUST142,Sell,2640,1720,1.9287
0322,HONG070,Short,49,4,11.9682
0322,INDI055,Short,9,9,16.3856
0322,INDI280,Buy,1,1,3.3282
0322,JAPA042,Buy,227,227,3.5443
0322,JAPA076,Short,46,46,31.606
0322,JAPA206,Buy,84,84,11.0866
0322,JAPA239,Buy,61,20,33.3051
0322,SING068,Buy,77,77,12.9746
0322,SOUT271,Buy,7,7,220.888
0322,SOUT293,Buy,55,55,7.7027
0322,THAI278,Buy,2028,2028,0.2734
0323,PHIL026,Buy,86,86,15.6605
0323,SOUT084,Sell,54,31,23.1531
0323,TAIW121,Sell,151,151,5.3703
0325,INDI250,Sell,6,6,3.7912
0328,AUST073,Sell,36,36,54.7347
0328,HONG124,Sell,851,851,0.9988
0328,INDI023,Buy,22,3,7.7789
0328,JAPA006,Sell,11,11,21.7501
0330,JAPA111,Buy,85,85,14.5183
0330,MALA040,Sell,364,343,1.1726
0334,JAPA086,Buy,22,22,35.4715
0335,HONG044,Sell,2502,2502,1.2484
0340,JAPA236,Buy,29,29,58.526
0348,HONG049,Short,1616,929,0.5862
0348,HONG107,Short,649,649,1.3343
0348,HONG158,Sell,1934,1934,0.5154
0348,JAPA036,Sell,90,90,18.4227
0348,JAPA146,Short,477,477,3.422
0348,TAIW106,Sell,61,26,2.0181
0348,THAI048,Sell,1554,1554,0.5365
0350,HONG229,Sell,163,163,4.9801
0350,JAPA023,Buy,11,11,19.7941
0350,JAPA103,Sell,34,34,47.2975
0350,JAPA132,Sell,39,39,17.2047
0351,AUST230,Buy,14,14,36.6343
0351,JAPA252,Buy,402,402,3.9421
0355,AUST073,Buy,10,10,54.6562
0355,JAPA017,Buy,63,63,14.7351
0355,JAPA210,Buy,40,40,14.2924
0355,JAPA231,Sell,3,3,9.7741
0355,MALA225,Short,145,145,4.2855
0355,SING141,Buy,228,228,5.041
0357,AUST032,Buy,18,18,20.5926
0357,HONG045,Buy,2831,459,0.7365
0357,HONG256,Sell,3758,3758,0.3848
0357,THAI201,Sell,314,314,2.3455
0359,HONG021,Buy,2199,2199,0.7344
0359,HONG167,Short,160,160,8.0351
0359,HONG179,Sell,2200,2200,0.6231
0359,JAPA180,Sell,169,169,4.4089
0359,SOUT062,Buy,472,472,1.2164
0359,THAI201,Buy,753,753,2.2204
0364,JAPA236,Sell,33,7,58.5694
0364,SOUT128,Short,34,34,6.8007
0366,HONG240,Short,508,508,3.698
0366,JAPA152,Sell,34,20,36.0509
0366,JAPA239,Buy,60,60,33.2491
0366,TAIW084,Buy,2055,2055,0.7953
0367,HONG045,Sell,1643,1643,0.7466
0367,HONG293,Buy,4166,4166,0.3667
0367,INDI056,Sell,138,138,4.3593
0367,JAPA163,Buy,2,2,79.1644
0367,TAIW132,Buy,1217,1217,2.742
0368,AUST187,Sell,412,412,4.7732
0368,HONG016,Buy,1307,1307,0.112
0368,HONG082,Buy,811,811,3.0612
0368,HONG197,Short,281,281,0.8938
0368,JAPA149,Buy,1,1,28.3972
0368,JAPA214,Sell,2,2,15.6125
0368,SOUT038,Buy,1,1,57.7573
0368,TAIW019,Buy,66,66,8.8626
0371,AUST299,Short,157,157,5.7886
0371,JAPA127,Sell,17,17,7.9367
0374,JAPA239,Buy,4,4,33.3597
0382,AUST190,Buy,48,48,11.2047
0382,JAPA139,Buy,22,22,21.6581
