act,type,asset,size,pos
0049,STK,SWE248,10,Long
0049,STK,SWE264,2,Short
0049,STK,SWE274,18,Short
0049,STK,SWI167,11,Long
0051,STK,DEN084,3,Long
0051,STK,SPA025,52,Short
0051,STK,SWE144,1,Long
0053,STK,NOR043,4,Long
0053,STK,SWE248,1,Short
0054,STK,DEN084,1,Long
0054,STK,GER093,75,Long
0054,STK,GER109,23,Short
0054,STK,SWE115,11,Long
0054,STK,SWE191,25,Long
0055,STK,AUS053,58,Long
0055,STK,DEN066,1,Long
0055,STK,DEN084,3,Long
0055,STK,FRA171,12,Long
0055,STK,FRA234,51,Short
0055,STK,FRA255,5,Long
0055,STK,IRE032,80,Short
0055,STK,ITA123,52,Long
0055,STK,ITA130,5,Long
0055,STK,ITA270,783,Long
0055,STK,NOR002,4,Long
0055,STK,NOR058,135,Long
0055,STK,SWE026,1,Long
0055,STK,SWE047,7,Short
0055,STK,SWE081,2,Long
0055,STK,SWE129,28,Short
0055,STK,SWE222,5,Long
0055,STK,SWE263,4,Long
0055,STK,SWE267,8,Long
0055,STK,SWE276,11,Short
0055,STK,SWE293,13,Long
0056,STK,FRA274,34,Long
0056,STK,ITA169,1418,Short
0056,STK,NOR140,7,Short
0056,STK,SPA067,201,Long
0056,STK,SWE023,1,Long
0056,STK,SWE038,5,Short
0057,STK,DEN127,4,Long
0057,STK,FRA073,26,Long
0057,STK,GER003,8,Long
0057,STK,ITA189,6,Long
0057,STK,NOR081,64,Long
0057,STK,SWI164,24,Short
0062,STK,FRA045,12,Long
0062,STK,NOR081,51,Long
0062,STK,SWE031,6,Long
0062,STK,SWE244,13,Short
0063,STK,DEN084,4,Long
0063,STK,FRA295,7,Long
0063,STK,POR011,525,Long
0064,STK,DEN127,2,Short
0066,STK,GER181,6,Long
0066,STK,NET111,19,Long
0066,STK,NOR049,7,Long
0066,STK,SWE126,8,Short
0066,STK,SWI187,5,Long
0067,STK,DEN044,3,Long
0067,STK,DEN120,1,Long
0067,STK,FRA020,167,Long
0067,STK,FRA295,87,Short
0067,STK,GER069,39,Long
0067,STK,GER071,39,Long
0067,STK,GER080,109,Long
0067,STK,NET037,16,Long
0067,STK,NET086,80,Long
0067,STK,NOR044,64,Short
0067,STK,SPA005,39,Long
0067,STK,SWE194,15,Long
0067,STK,SWI167,13,Long
0067,STK,SWI253,3,Long
0070,STK,DEN049,1,Long
0070,STK,DEN071,7,Long
0070,STK,FRA056,32,Long
0070,STK,FRA250,23,Short
0070,STK,GER240,9,Long
0070,STK,ITA234,677,Long
0070,STK,ITA286,29,Long
0070,STK,NET050,103,Long
0070,STK,NET061,12,Long
0070,STK,NOR033,143,Long
0070,STK,NOR083,12,Long
0070,STK,NOR150,10,Long
0070,STK,SPA083,148,Long
0070,STK,SWE023,2,Long
0070,STK,SWE090,4,Long
0070,STK,SWE091,26,Long
0070,STK,SWE137,5,Long
0070,STK,SWE194,23,Long
0070,STK,SWE263,8,Long
0070,STK,SWE273,3,Long
0070,STK,SWE274,15,Long
0070,STK,SWI076,43,Short
0072,STK,BEL088,5,Long
0072,STK,ITA169,418,Long
0072,STK,SPA090,7,Long
0072,STK,SWE021,3,Short
0075,STK,NET044,26,Short
0075,STK,NOR075,907,Long
0077,STK,BEL098,46,Long
0077,STK,DEN027,2,Short
0077,STK,DEN032,1,Long
0077,STK,DEN089,1,Short
0077,STK,FRA066,4,Long
0077,STK,GER069,44,Long
0077,STK,ITA134,96,Long
0077,STK,NOR032,12,Long
0077,STK,SWE183,66,Long
0077,STK,SWE244,7,Long
0077,STK,SWE263,6,Long
0077,STK,SWE264,8,Long
0077,STK,SWI168,13,Short
0077,STK,SWI187,5,Long
0077,STK,SWI253,3,Short
0083,STK,DEN032,3,Long
0083,STK,SPA025,91,Long
0085,STK,GER065,3,Long
0085,STK,IRE026,1,Short
0085,STK,ITA286,93,Long
0087,STK,DEN032,9,Long
0087,STK,ITA028,69,Long
0087,STK,ITA286,44,Long
0087,STK,NOR166,4,Long
0087,STK,SWE023,7,Short
0087,STK,SWI230,43,Long
0088,STK,BEL028,112,Long
0088,STK,FIN071,11,Short
0088,STK,FRA241,25,Long
0088,STK,GER003,8,Long
0088,STK,ITA242,53,Short
0088,STK,SWE099,9,Short
0088,STK,SWE124,3,Long
0089,STK,NOR055,15,Long
0090,STK,GER032,8,Long
0090,STK,NOR150,11,Long
0090,STK,SWE047,11,Short
0093,STK,DEN122,1909,Short
0093,STK,FRA171,22,Long
0093,STK,GER037,1,Long
0093,STK,GER105,2,Long
0093,STK,NOR031,7,Short
0093,STK,NOR088,26,Long
0093,STK,SWI162,14,Short
0093,STK,SWI201,1,Short
0095,STK,GER072,19,Long
0095,STK,SWE021,14,Long
0095,STK,SWE023,6,Short
0095,STK,SWE166,11,Long
0095,STK,SWE248,12,Long
0095,STK,SWE263,3,Long
0095,STK,SWI099,1,Long
0101,STK,DEN127,3,Long
0101,STK,GER136,16,Long
0101,STK,NOR140,14,Long
0101,STK,SWE024,3,Long
0101,STK,SWE180,6,Short
0101,STK,SWE231,46,Short
0101,STK,SWE263,3,Short
0101,STK,SWI167,5,Long
0101,STK,SWI218,1,Long
0102,STK,DEN037,5,Long
0102,STK,GER240,14,Long
0102,STK,ITA123,7,Long
0102,STK,NET086,73,Long
0103,STK,DEN032,9,Long
0103,STK,DEN084,2,Long
0103,STK,GER105,8,Long
0103,STK,ITA031,35,Long
0103,STK,ITA273,728,Long
0103,STK,NET086,16,Long
0103,STK,NOR081,8,Long
0103,STK,SWE102,2,Long
0103,STK,SWE191,7,Short
0103,STK,SWE248,8,Long
0103,STK,SWE274,49,Long
0103,STK,SWI227,75,Long
0104,STK,DEN032,8,Long
0104,STK,DEN084,2,Long
0104,STK,DEN104,1,Long
0104,STK,FRA011,3,Long
0104,STK,FRA020,173,Long
0104,STK,FRA162,14,Short
0104,STK,FRA216,1,Long
0104,STK,FRA239,2,Long
0104,STK,GER024,22,Short
0104,STK,GER065,5,Short
0104,STK,GER078,47,Long
0104,STK,ITA123,104,Long
0104,STK,NET086,63,Long
0104,STK,NOR049,3,Long
0104,STK,NOR120,31,Long
0104,STK,SWE003,1,Long
0104,STK,SWE021,8,Long
0104,STK,SWE064,14,Long
0104,STK,SWE124,4,Long
0104,STK,SWE137,3,Long
0104,STK,SWE194,19,Long
0104,STK,SWE246,2,Short
0104,STK,SWE248,9,Long
0104,STK,SWE264,2,Short
0104,STK,SWE274,5,Long
0104,STK,SWI211,4,Short
0105,STK,DEN027,1,Long
0105,STK,DEN079,7,Long
0105,STK,FRA216,10,Long
0105,STK,FRA234,81,Short
0105,STK,FRA236,29,Long
0105,STK,GER069,7,Long
0105,STK,GER078,57,Long
0105,STK,GER285,76,Long
0105,STK,ITA118,93,Long
0105,STK,ITA123,103,Long
0105,STK,ITA169,67,Long
0105,STK,NET050,121,Long
0105,STK,NOR032,1,Long
0105,STK,SPA088,2001,Long
0105,STK,SWE003,4,Long
0105,STK,SWE012,8,Long
0105,STK,SWE264,7,Long
0105,STK,SWE293,12,Long
0105,STK,SWI076,59,Long
0109,STK,DEN051,16,Long
0109,STK,FRA045,14,Short
0109,STK,FRA139,7,Long
0109,STK,FRA250,35,Long
0109,STK,ITA286,7,Long
0109,STK,NET064,12,Long
0109,STK,NET102,214,Long
0109,STK,NOR149,11,Long
0109,STK,SWE090,2,Short
0109,STK,SWE108,6,Long
0109,STK,SWE293,7,Long
0110,STK,DEN023,2,Long
0110,STK,GER138,86,Long
0110,STK,ITA222,94,Short
0111,STK,DEN027,1,Long
0111,STK,DEN044,2,Short
0111,STK,DEN127,3,Short
0111,STK,FRA248,10,Short
0111,STK,FRA255,6,Long
0111,STK,FRA274,42,Long
0111,STK,FRA293,10,Long
0111,STK,FRA300,54,Long
0111,STK,GER032,9,Long
0111,STK,GER234,4,Long
0111,STK,ITA026,231,Long
0111,STK,ITA042,4,Long
0111,STK,ITA169,275,Long
0111,STK,NET101,40,Short
0111,STK,NOR120,28,Long
0111,STK,NOR150,2,Long
0111,STK,SPA025,173,Long
0111,STK,SPA057,14,Short
0111,STK,SWE023,6,Long
0111,STK,SWE058,14,Long
0111,STK,SWE090,6,Long
0111,STK,SWE102,3,Long
0111,STK,SWE126,2,Long
0111,STK,SWE163,6,Short
0111,STK,SWE231,20,Short
0111,STK,SWE244,9,Short
0111,STK,SWE264,1,Long
0111,STK,SWE267,1,Long
0111,STK,SWE276,1,Long
0111,STK,SWE287,1,Short
0111,STK,SWI230,50,Long
0112,STK,GER172,9,Long
0112,STK,ITA169,546,Long
0112,STK,SWE102,2,Long
0112,STK,SWE261,23,Short
0115,STK,GER160,3,Short
0115,STK,NOR050,39,Long
0115,STK,NOR079,7,Long
0115,STK,NOR116,5,Long
0117,STK,FRA049,26,Long
0117,STK,FRA255,1,Long
0117,STK,NOR140,7,Short
0117,STK,SPA011,1,Short
0117,STK,SWE263,7,Short
0117,STK,SWI230,46,Long
0118,STK,FRA015,38,Long
0118,STK,GER030,18,Long
0118,STK,GER287,132,Long
0118,STK,SWE047,7,Short
0118,STK,SWE102,8,Long
0118,STK,SWE138,3,Long
0118,STK,SWE219,59,Long
0118,STK,SWE274,7,Long
0118,STK,SWI170,165,Long
0122,STK,FRA047,339,Long
0122,STK,NET038,29,Long
0122,STK,SWE293,3,Long
0123,STK,DEN127,3,Long
0123,STK,FRA271,24,Long
0123,STK,SWE023,7,Long
0123,STK,SWE047,2,Short
0123,STK,SWE141,6,Long
0123,STK,SWE164,6,Long
0123,STK,SWI001,60,Long
0123,STK,SWI162,6,Long
0124,STK,DEN044,7,Short
0124,STK,DEN077,2,Long
0124,STK,DEN084,4,Long
0124,STK,FIN061,66,Long
0124,STK,FRA095,73,Long
0124,STK,FRA239,7,Short
0124,STK,GER038,25,Long
0124,STK,GER087,25,Long
0124,STK,GER172,12,Short
0124,STK,GER181,4,Short
0124,STK,ITA123,81,Long
0124,STK,NOR033,63,Long
0124,STK,NOR049,2,Short
0124,STK,NOR081,67,Long
0124,STK,NOR088,6,Short
0124,STK,NOR140,9,Long
0124,STK,NOR143,5,Long
0124,STK,SWE012,2,Short
0124,STK,SWE035,7,Long
0124,STK,SWE037,2,Long
0124,STK,SWE040,14,Long
0124,STK,SWE102,15,Short
0124,STK,SWE120,2,Long
0124,STK,SWE244,9,Long
0124,STK,SWE263,5,Short
0124,STK,SWE267,8,Long
0124,STK,SWE269,18,Long
0124,STK,SWE276,28,Short
0124,STK,SWE278,6,Long
0124,STK,SWE293,11,Long
0124,STK,SWI162,12,Long
0124,STK,SWI167,8,Short
0124,STK,SWI194,8,Short
0125,STK,GER181,16,Long
0125,STK,SWI230,230,Long
0126,STK,DEN063,3,Long
0126,STK,DEN084,4,Long
0126,STK,ITA245,97,Long
0126,STK,SWE244,7,Short
0126,STK,SWE268,2,Long
0126,STK,SWI039,6,Long
0126,STK,SWI162,6,Short
0131,STK,DEN026,3,Long
0131,STK,DEN071,10,Short
0131,STK,DEN089,2,Long
0131,STK,FRA074,110,Long
0131,STK,FRA241,52,Long
0131,STK,FRA250,18,Short
0131,STK,FRA293,7,Long
0131,STK,ITA021,78,Short
0131,STK,ITA130,18,Long
0131,STK,ITA169,243,Long
0131,STK,NET081,18,Long
0131,STK,NET105,8,Long
0131,STK,NOR071,7,Long
0131,STK,NOR120,14,Long
0131,STK,NOR140,9,Long
0131,STK,NOR166,2,Long
0131,STK,SPA022,134,Long
0131,STK,SWE024,18,Long
0131,STK,SWE054,1,Long
0131,STK,SWE120,6,Long
0131,STK,SWE124,4,Long
0131,STK,SWE126,2,Long
0131,STK,SWE194,14,Short
0131,STK,SWE231,21,Long
0131,STK,SWE299,8,Long
0131,STK,SWI085,13,Long
0131,STK,SWI190,2,Long
0132,STK,DEN044,5,Long
0132,STK,DEN066,1,Long
0132,STK,FRA239,18,Long
0132,STK,NET050,73,Long
0132,STK,NET086,43,Short
0132,STK,SWE172,1,Short
0132,STK,SWE263,3,Long
0132,STK,SWI116,3,Long
0133,STK,BEL041,92,Long
0133,STK,DEN066,2,Short
0133,STK,DEN071,3,Long
0133,STK,FRA163,18,Long
0133,STK,GER265,93,Long
0133,STK,ITA169,78,Long
0133,STK,SWE022,2,Long
0133,STK,SWE120,3,Long
0133,STK,SWI187,4,Short
0133,STK,SWI209,2,Long
0139,STK,NOR096,43,Long
0139,STK,SPA055,66,Long
0139,STK,SWE047,8,Long
0141,STK,DEN127,2,Short
0141,STK,FRA171,4,Long
0141,STK,FRA250,33,Short
0141,STK,FRA274,21,Long
0141,STK,FRA281,6,Short
0141,STK,FRA295,29,Long
0141,STK,GER078,8,Short
0141,STK,NET060,11,Long
0141,STK,NOR140,1,Short
0141,STK,SWE124,4,Long
0141,STK,SWE293,14,Short
0141,STK,SWI071,25,Long
0141,STK,SWI187,4,Long
0142,STK,FRA095,111,Short
0142,STK,NET105,13,Short
0142,STK,SWE023,4,Long
0142,STK,SWE274,18,Short
0142,STK,SWE276,36,Short
0143,STK,DEN084,2,Short
0143,STK,FIN036,122,Long
0143,STK,FRA020,163,Long
0143,STK,FRA095,10,Long
0143,STK,FRA231,18,Long
0143,STK,NOR081,65,Long
0143,STK,NOR120,14,Short
0143,STK,NOR140,12,Short
0143,STK,SWE021,11,Long
0143,STK,SWE194,16,Long
0143,STK,SWE252,4,Long
0143,STK,SWE276,7,Long
0146,STK,ITA169,467,Short
0146,STK,ITA286,48,Long
0146,STK,SWE024,8,Long
0146,STK,SWE047,4,Long
0146,STK,SWE248,7,Long
0146,STK,SWE276,33,Short
0146,STK,SWI227,66,Short
0147,STK,GER138,132,Long
0147,STK,NET006,17,Long
0147,STK,NOR032,5,Short
0147,STK,SWE021,4,Long
0147,STK,SWE047,7,Short
0147,STK,SWE263,4,Long
0147,STK,SWE274,12,Long
0148,STK,ITA001,797,Long
0148,STK,NOR120,29,Long
0148,STK,SPA083,315,Long
0150,STK,GER030,18,Short
0150,STK,NOR140,10,Long
0150,STK,SPA123,15,Long
0150,STK,SPA132,65,Long
0152,STK,DEN057,6,Long
0152,STK,DEN084,1,Short
0152,STK,DEN127,3,Short
0152,STK,FRA143,2,Long
0152,STK,FRA216,13,Long
0152,STK,FRA300,51,Long
0152,STK,GER030,7,Long
0152,STK,GER078,23,Long
0152,STK,GER147,22,Long
0152,STK,GER172,9,Short
0152,STK,GER229,11,Long
0152,STK,GER297,63,Long
0152,STK,ITA123,113,Long
0152,STK,ITA169,236,Long
0152,STK,ITA299,60,Long
0152,STK,NOR120,9,Long
0152,STK,SPA067,62,Long
0152,STK,SWE102,8,Long
0152,STK,SWE108,10,Short
0152,STK,SWE124,3,Long
0152,STK,SWE135,8,Long
0152,STK,SWE194,17,Long
0152,STK,SWE216,103,Short
0152,STK,SWE219,91,Short
0152,STK,SWE244,7,Long
0152,STK,SWE264,5,Long
0152,STK,SWE267,6,Long
0152,STK,SWI187,5,Short
0152,STK,SWI218,5,Long
0155,STK,GER293,35,Short
0155,STK,SWE021,9,Long
0155,STK,SWE293,3,Short
0159,STK,BEL035,94,Short
0159,STK,DEN079,2,Short
0159,STK,DEN127,4,Long
0159,STK,DEN131,1,Long
0159,STK,FRA070,24,Long
0159,STK,GER013,1,Long
0159,STK,GER038,6,Short
0159,STK,GER209,30,Long
0159,STK,ITA118,195,Long
0159,STK,ITA249,21,Short
0159,STK,NET014,245,Long
0159,STK,NOR140,1,Long
0159,STK,SWE012,7,Long
0159,STK,SWE038,1,Short
0159,STK,SWE124,4,Long
0159,STK,SWE135,6,Short
0159,STK,SWE141,5,Long
0159,STK,SWE174,2,Long
0159,STK,SWE180,2,Short
0159,STK,SWE248,12,Short
0159,STK,SWE263,9,Long
0159,STK,SWI162,15,Long
0159,STK,SWI253,4,Long
0160,STK,DEN044,4,Long
0160,STK,DEN127,4,Short
0160,STK,FIN051,44,Long
0160,STK,FRA209,23,Short
0160,STK,FRA239,10,Long
0160,STK,FRA250,6,Long
0160,STK,FRA281,13,Long
0160,STK,GER298,1,Long
0160,STK,ITA053,703,Long
0160,STK,ITA286,53,Long
0160,STK,NET086,45,Short
0160,STK,NOR050,46,Long
0160,STK,NOR093,18,Long
0160,STK,NOR140,10,Long
0160,STK,SWE012,12,Short
0160,STK,SWE129,27,Long
0160,STK,SWE264,5,Short
0160,STK,SWE276,37,Long
0160,STK,SWI162,3,Long
0160,STK,SWI167,18,Short
0160,STK,SWI227,62,Short
0161,STK,DEN084,1,Short
0161,STK,DEN089,1,Long
0161,STK,FRA015,62,Long
0161,STK,FRA237,26,Long
0161,STK,FRA250,32,Long
0161,STK,GER069,6,Long
0161,STK,ITA259,365,Long
0161,STK,NET038,7,Long
0161,STK,NOR140,4,Short
0161,STK,SWE024,6,Long
0161,STK,SWE047,11,Long
0161,STK,SWE246,6,Long
0161,STK,SWE264,5,Long
0161,STK,SWI139,21,Long
0163,STK,GER080,32,Short
0169,STK,SWE102,7,Long
0169,STK,SWI162,23,Short
0173,STK,DEN127,3,Long
0173,STK,FRA274,10,Long
0173,STK,ITA034,1041,Long
0173,STK,NOR032,7,Long
0173,STK,NOR081,4,Long
0173,STK,SWE231,20,Long
0173,STK,SWE267,4,Long
0174,STK,GER032,1,Long
0174,STK,ITA169,247,Short
0174,STK,NOR140,14,Long
0174,STK,SPA025,300,Long
0174,STK,SWE003,9,Short
0174,STK,SWE090,4,Short
0174,STK,SWE141,4,Long
0174,STK,SWE231,20,Long
0175,STK,DEN084,3,Long
0175,STK,SWE047,6,Short
0175,STK,SWI246,8,Long
0177,STK,DEN044,5,Short
0177,STK,DEN079,23,Long
0177,STK,FRA054,20,Long
0177,STK,GER103,36,Short
0177,STK,GER240,13,Long
0177,STK,NOR081,35,Long
0177,STK,NOR140,1,Long
0177,STK,NOR149,8,Short
0177,STK,NOR166,1,Long
0177,STK,SWE003,3,Long
0177,STK,SWE026,1,Long
0177,STK,SWE124,3,Short
0177,STK,SWE194,7,Long
0177,STK,SWE274,1,Long
0177,STK,SWE276,12,Short
0177,STK,SWE293,5,Short
0177,STK,SWI162,50,Long
0177,STK,SWI167,22,Long
0177,STK,SWI187,3,Short
0178,STK,FRA268,14,Long
0178,STK,ITA123,17,Short
0178,STK,SWE017,6,Short
0178,STK,SWE047,8,Long
0178,STK,SWE129,3,Long
0179,STK,NET050,35,Short
0179,STK,SPA015,53,Long
0180,STK,FRA231,16,Long
0180,STK,NOR143,12,Short
0180,STK,SWE021,4,Long
0180,STK,SWE102,7,Long
0181,STK,FRA095,58,Long
0181,STK,NOR081,30,Long
0181,STK,NOR140,5,Long
0181,STK,SWE141,2,Short
0181,STK,SWE192,8,Long
0181,STK,SWE194,10,Short
0181,STK,SWE244,6,Long
0181,STK,SWE252,8,Long
0184,STK,SWE163,19,Short
0186,STK,DEN127,2,Short
0186,STK,NOR005,12,Long
0187,STK,BEL028,24,Short
0187,STK,DEN027,3,Short
0187,STK,DEN089,1,Long
0187,STK,DEN124,2,Long
0187,STK,FRA076,35,Long
0187,STK,GER240,17,Long
0187,STK,NET050,27,Short
0187,STK,NET086,22,Long
0187,STK,NOR120,14,Long
0187,STK,SPA087,42,Long
0187,STK,SWE231,23,Long
0187,STK,SWE248,3,Long
0187,STK,SWE268,6,Long
0187,STK,SWE274,15,Long
0187,STK,SWE276,17,Long
0187,STK,SWI167,12,Short
0188,STK,BEL035,56,Long
0188,STK,DEN032,8,Long
0189,STK,BEL008,8,Short
0189,STK,BEL035,43,Long
0189,STK,DEN084,1,Long
0189,STK,FRA020,36,Short
0189,STK,FRA036,70,Long
0189,STK,FRA057,23,Long
0189,STK,FRA239,9,Long
0189,STK,GER038,18,Long
0189,STK,GER072,23,Long
0189,STK,GER093,100,Long
0189,STK,ITA042,5,Long
0189,STK,ITA123,21,Long
0189,STK,ITA249,59,Long
0189,STK,ITA288,215,Long
0189,STK,NET086,64,Long
0189,STK,NET101,11,Long
0189,STK,NET102,253,Long
0189,STK,NOR006,15,Long
0189,STK,NOR149,6,Short
0189,STK,SPA025,29,Long
0189,STK,SPA037,116,Long
0189,STK,SWE108,4,Long
0189,STK,SWE124,2,Long
0189,STK,SWE155,3,Long
0189,STK,SWE180,7,Long
0189,STK,SWE215,342,Short
0189,STK,SWE224,51,Long
0189,STK,SWE231,42,Long
0189,STK,SWE282,9,Long
0189,STK,SWI001,28,Long
0189,STK,SWI162,5,Long
0189,STK,SWI211,2,Long
0190,STK,FRA242,50,Long
0190,STK,FRA250,45,Long
0190,STK,SPA130,8,Long
0190,STK,SWE138,6,Long
0190,STK,SWE244,10,Long
0190,STK,SWE248,3,Short
0190,STK,SWE263,4,Long
0190,STK,SWI181,7,Short
0191,STK,NET004,99,Long
0191,STK,NOR081,13,Long
0191,STK,NOR140,11,Long
0199,STK,FRA020,95,Long
0199,STK,NOR143,21,Long
0199,STK,SWE124,2,Short
0202,STK,DEN049,2,Short
0202,STK,FRA020,44,Long
0202,STK,FRA282,42,Short
0202,STK,SPA123,145,Long
0203,STK,SWE166,4,Long
0204,STK,GER069,6,Long
0204,STK,GER181,5,Long
0204,STK,GER275,13,Long
0204,STK,NET029,161,Long
0204,STK,NET089,221,Long
0204,STK,NOR140,7,Long
0204,STK,NOR149,2,Short
0204,STK,SWE021,11,Long
0204,STK,SWE267,9,Long
0204,STK,SWE293,10,Long
0205,STK,DEN079,16,Long
0205,STK,DEN124,5,Short
0205,STK,FIN062,191,Long
0205,STK,FRA054,8,Short
0205,STK,ITA286,296,Long
